,DateTime,RealPower,EV_Power,Timestamp
26188,2019-04-03 05:00:00,51.803,0.0,1554267600000000000
26187,2019-04-03 05:15:00,51.883,0.0,1554268500000000000
26186,2019-04-03 05:30:00,52.854,0.0,1554269400000000000
26185,2019-04-03 05:45:00,53.472,0.0,1554270300000000000
26184,2019-04-03 06:00:00,53.371,0.0,1554271200000000000
26183,2019-04-03 06:15:00,54.956,0.0,1554272100000000000
26182,2019-04-03 06:30:00,56.839,0.0,1554273000000000000
26181,2019-04-03 06:45:00,58.379,0.0,1554273900000000000
26180,2019-04-03 07:00:00,57.166,0.0,1554274800000000000
26179,2019-04-03 07:15:00,57.096,0.0,1554275700000000000
26178,2019-04-03 07:30:00,54.645,4.0,1554276600000000000
26177,2019-04-03 07:45:00,54.024,8.47,1554277500000000000
26176,2019-04-03 08:00:00,55.841,16.03,1554278400000000000
26175,2019-04-03 08:15:00,55.163,21.32,1554279300000000000
26174,2019-04-03 08:30:00,55.655,24.18,1554280200000000000
26173,2019-04-03 08:45:00,51.744,25.77,1554281100000000000
26172,2019-04-03 09:00:00,52.631,23.2,1554282000000000000
26171,2019-04-03 09:15:00,54.164,25.19,1554282900000000000
26170,2019-04-03 09:30:00,55.247,25.37,1554283800000000000
26169,2019-04-03 09:45:00,53.353,22.7,1554284700000000000
26168,2019-04-03 10:00:00,54.97,23.3,1554285600000000000
26167,2019-04-03 10:15:00,62.112,23.7,1554286500000000000
26166,2019-04-03 10:30:00,63.197,20.87,1554287400000000000
26165,2019-04-03 10:45:00,46.776,19.09,1554288300000000000
26164,2019-04-03 11:00:00,75.175,16.35,1554289200000000000
26163,2019-04-03 11:15:00,76.008,10.95,1554290100000000000
26162,2019-04-03 11:30:00,76.328,12.68,1554291000000000000
26161,2019-04-03 11:45:00,73.76,18.64,1554291900000000000
26160,2019-04-03 12:00:00,74.657,15.76,1554292800000000000
26159,2019-04-03 12:15:00,70.085,15.95,1554293700000000000
26158,2019-04-03 12:30:00,82.339,-0.02,1554294600000000000
26157,2019-04-03 12:45:00,66.972,15.02,1554295500000000000
26156,2019-04-03 13:00:00,60.749,13.11,1554296400000000000
26155,2019-04-03 13:15:00,54.093,14.83,1554297300000000000
26154,2019-04-03 13:30:00,61.174,6.49,1554298200000000000
26153,2019-04-03 13:45:00,54.713,4.42,1554299100000000000
26152,2019-04-03 14:00:00,61.652,0.21,1554300000000000000
26151,2019-04-03 14:15:00,58.358,5.4,1554300900000000000
26150,2019-04-03 14:30:00,54.622,5.4,1554301800000000000
26149,2019-04-03 14:45:00,52.727,5.4,1554302700000000000
26148,2019-04-03 15:00:00,54.197,6.09,1554303600000000000
26147,2019-04-03 15:15:00,57.301,7.02,1554304500000000000
26146,2019-04-03 15:30:00,54.582,14.22,1554305400000000000
26145,2019-04-03 15:45:00,60.301,6.22,1554306300000000000
26144,2019-04-03 16:00:00,56.59,10.22,1554307200000000000
26143,2019-04-03 16:15:00,56.105,10.22,1554308100000000000
26142,2019-04-03 16:30:00,54.398,10.22,1554309000000000000
26141,2019-04-03 16:45:00,51.147,10.22,1554309900000000000
26140,2019-04-03 17:00:00,49.938,12.39,1554310800000000000
26139,2019-04-03 17:15:00,48.163,11.58,1554311700000000000
26138,2019-04-03 17:30:00,49.701,10.04,1554312600000000000
26137,2019-04-03 17:45:00,53.536,7.61,1554313500000000000
26136,2019-04-03 18:00:00,54.984,3.25,1554314400000000000
26135,2019-04-03 18:15:00,59.123,3.25,1554315300000000000
26134,2019-04-03 18:30:00,55.138,3.25,1554316200000000000
26133,2019-04-03 18:45:00,56.759,3.25,1554317100000000000
26132,2019-04-03 19:00:00,51.804,3.01,1554318000000000000
26131,2019-04-03 19:15:00,56.443,0.0,1554318900000000000
26130,2019-04-03 19:30:00,54.772,0.0,1554319800000000000
26129,2019-04-03 19:45:00,55.188,0.0,1554320700000000000
26128,2019-04-03 20:00:00,55.226,0.0,1554321600000000000
26127,2019-04-03 20:15:00,55.444,0.0,1554322500000000000
26126,2019-04-03 20:30:00,54.708,0.0,1554323400000000000
26125,2019-04-03 20:45:00,55.484,0.0,1554324300000000000
26124,2019-04-03 21:00:00,56.014,0.0,1554325200000000000
26123,2019-04-03 21:15:00,55.198,0.0,1554326100000000000
26122,2019-04-03 21:30:00,55.819,0.52,1554327000000000000
26121,2019-04-03 21:45:00,54.952,1.96,1554327900000000000
26120,2019-04-03 22:00:00,54.937,1.96,1554328800000000000
26119,2019-04-03 22:15:00,53.195,1.96,1554329700000000000
26118,2019-04-03 22:30:00,53.342,1.96,1554330600000000000
26117,2019-04-03 22:45:00,51.462,1.96,1554331500000000000
26116,2019-04-03 23:00:00,53.004,0.29,1554332400000000000
26115,2019-04-03 23:15:00,52.449,0.0,1554333300000000000
26114,2019-04-03 23:30:00,52.912,0.0,1554334200000000000
26113,2019-04-03 23:45:00,52.864,0.0,1554335100000000000
26112,2019-04-04 00:00:00,51.954,0.0,1554336000000000000
26111,2019-04-04 00:15:00,52.836,0.0,1554336900000000000
26110,2019-04-04 00:30:00,51.428,0.0,1554337800000000000
26109,2019-04-04 00:45:00,52.417,0.0,1554338700000000000
26108,2019-04-04 01:00:00,51.648,0.0,1554339600000000000
26107,2019-04-04 01:15:00,51.69,0.0,1554340500000000000
26106,2019-04-04 01:30:00,51.42,0.0,1554341400000000000
26105,2019-04-04 01:45:00,51.114,0.0,1554342300000000000
26104,2019-04-04 02:00:00,51.025,0.0,1554343200000000000
26103,2019-04-04 02:15:00,50.704,0.0,1554344100000000000
26102,2019-04-04 02:30:00,50.792,0.0,1554345000000000000
26101,2019-04-04 02:45:00,50.481,0.0,1554345900000000000
26100,2019-04-04 03:00:00,50.629,0.0,1554346800000000000
26099,2019-04-04 03:15:00,50.494,0.0,1554347700000000000
26098,2019-04-04 03:30:00,50.627,0.0,1554348600000000000
26097,2019-04-04 03:45:00,50.159,0.0,1554349500000000000
26096,2019-04-04 04:00:00,50.372,0.0,1554350400000000000
26095,2019-04-04 04:15:00,50.029,0.0,1554351300000000000
26094,2019-04-04 04:30:00,50.332,0.0,1554352200000000000
26093,2019-04-04 04:45:00,50.119,0.0,1554353100000000000
26092,2019-04-04 05:00:00,51.651,0.0,1554354000000000000
26091,2019-04-04 05:15:00,52.023,0.0,1554354900000000000
26090,2019-04-04 05:30:00,52.567,0.0,1554355800000000000
26089,2019-04-04 05:45:00,53.387,0.0,1554356700000000000
26088,2019-04-04 06:00:00,53.189,0.0,1554357600000000000
26087,2019-04-04 06:15:00,53.205,0.0,1554358500000000000
26086,2019-04-04 06:30:00,54.152,0.0,1554359400000000000
26085,2019-04-04 06:45:00,54.014,0.0,1554360300000000000
26084,2019-04-04 07:00:00,54.911,0.0,1554361200000000000
26083,2019-04-04 07:15:00,53.726,0.0,1554362100000000000
26082,2019-04-04 07:30:00,53.806,2.4,1554363000000000000
26081,2019-04-04 07:45:00,57.897,11.25,1554363900000000000
26080,2019-04-04 08:00:00,57.355,16.41,1554364800000000000
26079,2019-04-04 08:15:00,54.363,22.9,1554365700000000000
26078,2019-04-04 08:30:00,53.211,30.5,1554366600000000000
26077,2019-04-04 08:45:00,51.277,35.67,1554367500000000000
26076,2019-04-04 09:00:00,53.612,37.62,1554368400000000000
26075,2019-04-04 09:15:00,53.127,34.42,1554369300000000000
26074,2019-04-04 09:30:00,52.531,34.43,1554370200000000000
26073,2019-04-04 09:45:00,51.959,32.99,1554371100000000000
26072,2019-04-04 10:00:00,51.625,30.49,1554372000000000000
26071,2019-04-04 10:15:00,48.962,30.18,1554372900000000000
26070,2019-04-04 10:30:00,51.78,26.06,1554373800000000000
26069,2019-04-04 10:45:00,51.107,25.08,1554374700000000000
26068,2019-04-04 11:00:00,58.049,29.77,1554375600000000000
26067,2019-04-04 11:15:00,50.415,23.43,1554376500000000000
26066,2019-04-04 11:30:00,53.283,17.23,1554377400000000000
26065,2019-04-04 11:45:00,57.393,13.23,1554378300000000000
26064,2019-04-04 12:00:00,49.844,15.87,1554379200000000000
26063,2019-04-04 12:15:00,56.364,11.54,1554380100000000000
26062,2019-04-04 12:30:00,55.959,21.21,1554381000000000000
26061,2019-04-04 12:45:00,53.463,17.28,1554381900000000000
26060,2019-04-04 13:00:00,50.328,25.35,1554382800000000000
26059,2019-04-04 13:15:00,53.773,20.95,1554383700000000000
26058,2019-04-04 13:30:00,57.981,8.95,1554384600000000000
26057,2019-04-04 13:45:00,56.782,5.35,1554385500000000000
26056,2019-04-04 14:00:00,54.14,12.95,1554386400000000000
26055,2019-04-04 14:15:00,59.805,12.95,1554387300000000000
26054,2019-04-04 14:30:00,61.631,13.35,1554388200000000000
26053,2019-04-04 14:45:00,54.87,12.78,1554389100000000000
26052,2019-04-04 15:00:00,56.238,13.65,1554390000000000000
26051,2019-04-04 15:15:00,54.785,14.05,1554390900000000000
26050,2019-04-04 15:30:00,51.839,14.08,1554391800000000000
26049,2019-04-04 15:45:00,56.55,17.77,1554392700000000000
26048,2019-04-04 16:00:00,52.001,21.77,1554393600000000000
26047,2019-04-04 16:15:00,52.785,16.21,1554394500000000000
26046,2019-04-04 16:30:00,59.959,8.2,1554395400000000000
26045,2019-04-04 16:45:00,57.043,14.72,1554396300000000000
26044,2019-04-04 17:00:00,53.425,13.01,1554397200000000000
26043,2019-04-04 17:15:00,55.524,13.52,1554398100000000000
26042,2019-04-04 17:30:00,55.272,12.23,1554399000000000000
26041,2019-04-04 17:45:00,54.224,10.81,1554399900000000000
26040,2019-04-04 18:00:00,53.394,9.08,1554400800000000000
26039,2019-04-04 18:15:00,52.478,8.18,1554401700000000000
26038,2019-04-04 18:30:00,52.765,6.5,1554402600000000000
26037,2019-04-04 18:45:00,55.957,6.19,1554403500000000000
26036,2019-04-04 19:00:00,55.02,8.76,1554404400000000000
26035,2019-04-04 19:15:00,57.044,12.47,1554405300000000000
26034,2019-04-04 19:30:00,55.751,12.9,1554406200000000000
26033,2019-04-04 19:45:00,55.683,12.9,1554407100000000000
26032,2019-04-04 20:00:00,55.831,10.8,1554408000000000000
26031,2019-04-04 20:15:00,55.881,6.71,1554408900000000000
26030,2019-04-04 20:30:00,55.927,6.71,1554409800000000000
26029,2019-04-04 20:45:00,54.705,3.23,1554410700000000000
26028,2019-04-04 21:00:00,54.494,0.53,1554411600000000000
26027,2019-04-04 21:15:00,54.65,0.0,1554412500000000000
26026,2019-04-04 21:30:00,54.761,0.0,1554413400000000000
26025,2019-04-04 21:45:00,53.061,0.0,1554414300000000000
26024,2019-04-04 22:00:00,53.848,0.0,1554415200000000000
26023,2019-04-04 22:15:00,51.807,0.0,1554416100000000000
26022,2019-04-04 22:30:00,52.441,0.0,1554417000000000000
26021,2019-04-04 22:45:00,52.135,0.0,1554417900000000000
26020,2019-04-04 23:00:00,51.863,0.0,1554418800000000000
26019,2019-04-04 23:15:00,51.425,0.0,1554419700000000000
26018,2019-04-04 23:30:00,52.795,0.0,1554420600000000000
26017,2019-04-04 23:45:00,50.612,0.0,1554421500000000000
26016,2019-04-05 00:00:00,51.638,0.0,1554422400000000000
26015,2019-04-05 00:15:00,51.454,0.0,1554423300000000000
26014,2019-04-05 00:30:00,51.246,0.0,1554424200000000000
26013,2019-04-05 00:45:00,51.038,0.0,1554425100000000000
26012,2019-04-05 01:00:00,50.42,0.0,1554426000000000000
26011,2019-04-05 01:15:00,50.844,0.0,1554426900000000000
26010,2019-04-05 01:30:00,50.71,0.0,1554427800000000000
26009,2019-04-05 01:45:00,50.44,0.0,1554428700000000000
26008,2019-04-05 02:00:00,50.567,0.0,1554429600000000000
26007,2019-04-05 02:15:00,51.004,0.0,1554430500000000000
26006,2019-04-05 02:30:00,50.251,0.0,1554431400000000000
26005,2019-04-05 02:45:00,50.644,0.0,1554432300000000000
26004,2019-04-05 03:00:00,50.413,0.0,1554433200000000000
26003,2019-04-05 03:15:00,50.311,0.0,1554434100000000000
26002,2019-04-05 03:30:00,50.295,0.0,1554435000000000000
26001,2019-04-05 03:45:00,50.185,0.0,1554435900000000000
26000,2019-04-05 04:00:00,49.885,0.0,1554436800000000000
25999,2019-04-05 04:15:00,49.932,0.0,1554437700000000000
25998,2019-04-05 04:30:00,50.399,0.0,1554438600000000000
25997,2019-04-05 04:45:00,49.98,0.0,1554439500000000000
25996,2019-04-05 05:00:00,51.171,0.0,1554440400000000000
25995,2019-04-05 05:15:00,51.587,0.0,1554441300000000000
25994,2019-04-05 05:30:00,52.859,0.0,1554442200000000000
25993,2019-04-05 05:45:00,53.213,0.0,1554443100000000000
25992,2019-04-05 06:00:00,53.211,0.0,1554444000000000000
25991,2019-04-05 06:15:00,52.805,0.0,1554444900000000000
25990,2019-04-05 06:30:00,53.032,0.0,1554445800000000000
25989,2019-04-05 06:45:00,54.044,0.0,1554446700000000000
25988,2019-04-05 07:00:00,53.674,0.0,1554447600000000000
25987,2019-04-05 07:15:00,53.983,0.0,1554448500000000000
25986,2019-04-05 07:30:00,53.36,2.4,1554449400000000000
25985,2019-04-05 07:45:00,53.778,8.69,1554450300000000000
25984,2019-04-05 08:00:00,53.94,14.02,1554451200000000000
25983,2019-04-05 08:15:00,55.493,12.15,1554452100000000000
25982,2019-04-05 08:30:00,53.173,19.66,1554453000000000000
25981,2019-04-05 08:45:00,52.152,24.37,1554453900000000000
25980,2019-04-05 09:00:00,52.384,30.95,1554454800000000000
25979,2019-04-05 09:15:00,52.606,34.99,1554455700000000000
25978,2019-04-05 09:30:00,53.009,35.91,1554456600000000000
25977,2019-04-05 09:45:00,56.192,31.98,1554457500000000000
25976,2019-04-05 10:00:00,63.496,31.23,1554458400000000000
25975,2019-04-05 10:15:00,60.09,34.03,1554459300000000000
25974,2019-04-05 10:30:00,54.532,31.97,1554460200000000000
25973,2019-04-05 10:45:00,54.163,25.87,1554461100000000000
