,DateTime,RealPower,Fecha,vacaciones,clases_verano,Min Temp (C),Max Temp (C),Avg Temp (C),Sunrise,Sunset,suma_final
136,2019-12-30 13:45:00,36.103,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
137,2019-12-30 13:30:00,36.255,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
138,2019-12-30 13:15:00,36.137,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
139,2019-12-30 13:00:00,36.149,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
140,2019-12-30 12:45:00,36.603,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
141,2019-12-30 12:30:00,36.084,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
142,2019-12-30 12:15:00,36.155,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
143,2019-12-30 12:00:00,36.071,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
144,2019-12-30 11:45:00,36.223,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
145,2019-12-30 11:30:00,35.981,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
146,2019-12-30 11:15:00,35.864,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
147,2019-12-30 11:00:00,36.241,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
148,2019-12-30 10:45:00,36.022,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
149,2019-12-30 10:30:00,36.161,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
150,2019-12-30 10:15:00,35.951,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
151,2019-12-30 10:00:00,36.336,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
152,2019-12-30 09:45:00,36.315,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
153,2019-12-30 09:30:00,36.079,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
154,2019-12-30 09:15:00,34.11,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
155,2019-12-30 09:00:00,36.341,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
156,2019-12-30 08:45:00,36.408,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
157,2019-12-30 08:30:00,38.814,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
158,2019-12-30 08:15:00,39.089,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
159,2019-12-30 08:00:00,38.451,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
